0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:33 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=7 HTTP/1.1" 200 8212
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:33 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=14 HTTP/1.1" 200 10862
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:33 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=4 HTTP/1.1" 200 9765
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:33 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=15 HTTP/1.1" 200 16301
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:33 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=18 HTTP/1.1" 200 9191
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:35 +0530] "GET /OnlineBookStore_012113/CartServlet?bookid=4&process=addToCart HTTP/1.1" 200 9314
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:35 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=7 HTTP/1.1" 200 8212
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:35 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=14 HTTP/1.1" 200 10862
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:35 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=4 HTTP/1.1" 200 9765
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:36 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=15 HTTP/1.1" 200 16301
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:36 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=18 HTTP/1.1" 200 9191
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:38 +0530] "GET /OnlineBookStore_012113/CartServlet?bookid=14&process=addToCart HTTP/1.1" 200 9314
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:38 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=7 HTTP/1.1" 200 8212
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:38 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=14 HTTP/1.1" 200 10862
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:38 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=4 HTTP/1.1" 200 9765
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:38 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=18 HTTP/1.1" 200 9191
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:38 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=15 HTTP/1.1" 200 16301
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:40 +0530] "GET /OnlineBookStore_012113/CartServlet?process=myCart HTTP/1.1" 200 5792
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:43 +0530] "POST /OnlineBookStore_012113/OrderServlet HTTP/1.1" 200 3438
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:46 +0530] "GET /OnlineBookStore_012113/OrderServlet?process=myorderhistory HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:46 +0530] "GET /OnlineBookStore_012113/MyOrderHistory.jsp HTTP/1.1" 200 3842
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:49 +0530] "GET /OnlineBookStore_012113/CartServlet?process=myCart HTTP/1.1" 200 9328
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:49 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=7 HTTP/1.1" 200 8212
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:28:49 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=4 HTTP/1.1" 200 9765
